food_name,food_type,category,protein_g,carbs_g,fat_g,fiber_g,calories_kcal,vitamins,minerals,vaat_suitable,pit_suitable,cough_suitable,vaat_rating,pit_rating,cough_rating,health_tags,body_type,suitability_label,recommendation,suitability_reason
Basmati Rice,Veg,Grains,2.7,45.0,0.3,0.4,200.0,"B1,B3","Mg,P",Yes,Yes,No,5,4,2,"Light,Easily Digestible",Vaat,suitable,Yes,"Warm, oily, and grounding qualities pacify Vaat dosha."
Basmati Rice,Veg,Grains,2.7,45.0,0.3,0.4,200.0,"B1,B3","Mg,P",Yes,Yes,No,5,4,2,"Light,Easily Digestible",Pit,suitable,Yes,Cool and sweet properties effectively pacify excess Pit (Pitta) heat.
Basmati Rice,Veg,Grains,2.7,45.0,0.3,0.4,200.0,"B1,B3","Mg,P",Yes,Yes,No,5,4,2,"Light,Easily Digestible",Cough (Kapha),not_suitable,No,Promotes mucus formation – avoid during Kapha imbalance.
Brown Rice,Veg,Grains,2.6,46.0,0.9,1.8,216.0,"B1,B3,B6","Mg,P,Mn",Yes,Yes,No,4,3,2,"Fiber Rich,Whole Grain",Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Brown Rice,Veg,Grains,2.6,46.0,0.9,1.8,216.0,"B1,B3,B6","Mg,P,Mn",Yes,Yes,No,4,3,2,"Fiber Rich,Whole Grain",Pit,moderately_suitable,Moderate,Can be included occasionally in moderate quantities for Pitta types.
Brown Rice,Veg,Grains,2.6,46.0,0.9,1.8,216.0,"B1,B3,B6","Mg,P,Mn",Yes,Yes,No,4,3,2,"Fiber Rich,Whole Grain",Cough (Kapha),not_suitable,No,Sweet and cold nature aggravates Kapha's already heavy and damp qualities.
Wheat Roti,Veg,Grains,3.6,18.0,0.4,1.2,90.0,"B1,B2","Fe,Ca",Yes,Yes,Yes,4,4,4,"Staple,Fiber Rich",Vaat,suitable,Yes,"Warm, oily, and grounding qualities pacify Vaat dosha."
Wheat Roti,Veg,Grains,3.6,18.0,0.4,1.2,90.0,"B1,B2","Fe,Ca",Yes,Yes,Yes,4,4,4,"Staple,Fiber Rich",Pit,suitable,Yes,Light and easily digestible – supports Pitta's strong digestion without overloading it.
Wheat Roti,Veg,Grains,3.6,18.0,0.4,1.2,90.0,"B1,B2","Fe,Ca",Yes,Yes,Yes,4,4,4,"Staple,Fiber Rich",Cough (Kapha),suitable,Yes,"Light, dry, and pungent qualities balance Kapha's heavy and moist nature."
Oats,Veg,Grains,2.4,12.0,1.4,1.7,68.0,"B1,B5","Mn,P,Mg",Yes,Yes,Yes,5,4,4,"Heart Healthy,Fiber Rich",Vaat,suitable,Yes,"Naturally sweet and moist, counteracts Vaat's dryness."
Oats,Veg,Grains,2.4,12.0,1.4,1.7,68.0,"B1,B5","Mn,P,Mg",Yes,Yes,Yes,5,4,4,"Heart Healthy,Fiber Rich",Pit,suitable,Yes,Bitter or astringent taste pacifies excess Pitta heat.
Oats,Veg,Grains,2.4,12.0,1.4,1.7,68.0,"B1,B5","Mn,P,Mg",Yes,Yes,Yes,5,4,4,"Heart Healthy,Fiber Rich",Cough (Kapha),suitable,Yes,"Light, dry, and pungent qualities balance Kapha's heavy and moist nature."
Jowar Roti,Veg,Grains,1.8,18.9,0.9,0.9,88.0,"B3,B1","Fe,Ca",Yes,Yes,Yes,4,4,5,"Gluten Free,High Fiber",Vaat,suitable,Yes,"Warm, oily, and grounding qualities pacify Vaat dosha."
Jowar Roti,Veg,Grains,1.8,18.9,0.9,0.9,88.0,"B3,B1","Fe,Ca",Yes,Yes,Yes,4,4,5,"Gluten Free,High Fiber",Pit,suitable,Yes,Cool and sweet properties effectively pacify excess Pit (Pitta) heat.
Jowar Roti,Veg,Grains,1.8,18.9,0.9,0.9,88.0,"B3,B1","Fe,Ca",Yes,Yes,Yes,4,4,5,"Gluten Free,High Fiber",Cough (Kapha),suitable,Yes,Stimulates metabolism and helps reduce Kapha-related congestion.
Bajra Roti,Veg,Grains,1.6,20.0,0.6,1.3,90.0,"B3,B1","Fe,Mg",Yes,No,Yes,4,2,5,"Warming,Gluten Free",Vaat,suitable,Yes,Sweet and nourishing properties balance Vaat's dry and cold nature.
Bajra Roti,Veg,Grains,1.6,20.0,0.6,1.3,90.0,"B3,B1","Fe,Mg",Yes,No,Yes,4,2,5,"Warming,Gluten Free",Pit,not_suitable,No,Pungent taste fans Pitta's inner fire.
Bajra Roti,Veg,Grains,1.6,20.0,0.6,1.3,90.0,"B3,B1","Fe,Mg",Yes,No,Yes,4,2,5,"Warming,Gluten Free",Cough (Kapha),suitable,Yes,Warming spices help counter Kapha's cold and sluggish tendencies.
Ragi,Veg,Grains,1.7,22.0,0.5,1.0,99.0,"B1,B2","Ca,Fe",Yes,Yes,Yes,4,4,4,"Calcium Rich,Gluten Free",Vaat,suitable,Yes,"Warm, oily, and grounding qualities pacify Vaat dosha."
Ragi,Veg,Grains,1.7,22.0,0.5,1.0,99.0,"B1,B2","Ca,Fe",Yes,Yes,Yes,4,4,4,"Calcium Rich,Gluten Free",Pit,suitable,Yes,Light and easily digestible – supports Pitta's strong digestion without overloading it.
Ragi,Veg,Grains,1.7,22.0,0.5,1.0,99.0,"B1,B2","Ca,Fe",Yes,Yes,Yes,4,4,4,"Calcium Rich,Gluten Free",Cough (Kapha),suitable,Yes,Stimulates metabolism and helps reduce Kapha-related congestion.
Quinoa,Veg,Grains,4.4,19.7,1.9,2.8,120.0,"B1,B2,B9","Mg,Fe,Zn",Yes,Yes,Yes,5,4,4,"Complete Protein,Gluten Free",Vaat,suitable,Yes,"Naturally sweet and moist, counteracts Vaat's dryness."
Quinoa,Veg,Grains,4.4,19.7,1.9,2.8,120.0,"B1,B2,B9","Mg,Fe,Zn",Yes,Yes,Yes,5,4,4,"Complete Protein,Gluten Free",Pit,suitable,Yes,Bitter or astringent taste pacifies excess Pitta heat.
Quinoa,Veg,Grains,4.4,19.7,1.9,2.8,120.0,"B1,B2,B9","Mg,Fe,Zn",Yes,Yes,Yes,5,4,4,"Complete Protein,Gluten Free",Cough (Kapha),suitable,Yes,Stimulates metabolism and helps reduce Kapha-related congestion.
